"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"11 - CARLISLE CITY WARD 2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",195,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",185,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",557,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",362,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",210,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-5","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",55,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-6","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",33,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-7","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",35,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-8","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",76,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"11-9","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",236,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"12 - CARLISLE CITY WARD 3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",227,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"13 - CARLISLE TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",161,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"14 - CLEVELAND TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",106,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"15 - DORTCH TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",60,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"16 - EAGLE TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",991,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"17 - ENGLAND CITY WARD 1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",287,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"18 - ENGLAND CITY WARD 2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",188,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"19 - ENGLAND CITY WARD 3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",140,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",53,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"2-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",669,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"2-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",704,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"2-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",432,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"20 - ENGLAND CITY WARD 4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",125,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"21 - FLETCHER TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",65,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"22 - FURLOW TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",357,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"23 - GOODRUM TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1190,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"24 - GRAY TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1110,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"25 - GUMWOOD TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",78,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"26 - HAMILTON TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",47,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"27 - CROOKED CREEK TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",107,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"28 - HUMNOKE CITY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",106,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"29 - INDIAN BAYOU TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",54,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",18,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"3-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",436,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"3-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",281,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"3-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",883,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"3-4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",215,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"30 - COY CITY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",27,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"31 - ISBELL TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",58,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"32 - LAFAYETTE TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",8,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"33 - KEO CITY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",110,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"34 - LONOKE CITY W/1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",279,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"35 - LONOKE CITY WARD 2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",156,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"36 - LONOKE CITY W/3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",127,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"37 - LONOKE CITY W/4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",198,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"38 - LONOKE TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",372,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"39 - MAGNESS TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",978,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"4-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1300,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"4-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",457,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"40 - OAK GROVE TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1921,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"41 - PETTUS TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",46,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"42 - PRAIRIE TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",227,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"43 - PULASKI TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",152,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"44 - RICHWOOD TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",40,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"45 - TOTTEN TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",161,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"46 - WALLS TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",16,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"47 - WARD CITY W/1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",467,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"48 - WARD CITY W/2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",545,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"49 - WARD CITY W/3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",843,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"5-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",543,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"5-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",439,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"5-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",56,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"5-4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",276,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"50 - WARD TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",556,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"51 - WILLIAMS TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",229,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"510","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",41,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"53 - LONOKE CITY W/5","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",163,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"530","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",28,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"54 - LONOKE CITY W/6","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",112,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"55 - LONOKE CITY W/7","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",181,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"56 - LONOKE CITY W/8","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",265,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"6-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",909,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"6-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",555,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"6-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",242,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"7","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",23,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"7-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",929,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"7-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",467,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"7-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",319,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"7TH STREET CHURCH OF CHRIST","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",562,"CRITTENDEN","05035","CRITTENDEN","05035","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"8-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1138,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"8-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",147,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"8-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",135,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"8-4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",254,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"8-5","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",60,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"9","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",20,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
